selection_role,selection_stage,selection_origin_idx,selection_origin_time,candidate_train_days,candidate_half_life_days,candidate_input_hours,validation_block_count,validation_block_days,purge_hours,val_pr_auc_mean,val_pr_auc_median,val_pr_auc_q25,val_pr_auc_std,val_pr_auc_min,val_roc_auc_mean,selection_origin_count,family_validation_pr_auc,input_validation_pr_auc,selected_family_weights,selected_input_weights,candidate_cascade_alpha,validation_scope,validation_samples,candidate_b2_train_days,candidate_b2_half_life_days,candidate_L_obs_hours,pool_origin_count,pool_validation_block_count,candidate_pareto_alpha,selected_lambda,paired_validation_block_count,selected_train_days,selected_half_life_days,selected_input_hours,validation_origin_count,adst_action,candidate_count,selected_cascade_alpha,selected_cascade_validation_pr_auc,selected_b2_train_days,selected_b2_half_life_days,fusion_validation_pr_auc,fusion_validation_roc_auc,prediction_population
branch1_proxy,development,20160.0,2023-07-25T09:40:00+00:00,14.0,14.0,all_1_6_24,3.0,3.0,36.0,0.29426217164763807,0.29798931542820106,0.22012408152069693,0.12261692073141636,0.1422588476131928,0.7515489321837302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,20160.0,2023-07-25T09:40:00+00:00,21.0,3.0,all_1_6_24,3.0,3.0,36.0,0.3215102297736397,0.357525091348068,0.2583498304977168,0.1205637880261377,0.15917456964736565,0.7800575411729818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,20160.0,2023-07-25T09:40:00+00:00,21.0,7.0,all_1_6_24,3.0,3.0,36.0,0.2958734742375141,0.3079894410158716,0.21839904324459714,0.13174040571225396,0.12880864547332269,0.7421882187593837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,20160.0,2023-07-25T09:40:00+00:00,21.0,14.0,all_1_6_24,3.0,3.0,36.0,0.2791854504972817,0.28580262319242533,0.19458925381348774,0.14092415982494028,0.10337588443455015,0.7088620923579619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,20448.0,2023-07-26T09:40:00+00:00,7.0,3.0,all_1_6_24,3.0,3.0,36.0,0.2394454889811554,0.22706484119476672,0.19373982369688042,0.07013121182692231,0.16041480619899412,0.703281152011565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,20448.0,2023-07-26T09:40:00+00:00,7.0,7.0,all_1_6_24,3.0,3.0,36.0,0.2337044104213375,0.22924119800862827,0.1943470468662404,0.06252790300856126,0.15945289572385254,0.6983722598187575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,20448.0,2023-07-26T09:40:00+00:00,7.0,14.0,all_1_6_24,3.0,3.0,36.0,0.23120367961059038,0.2304638251875565,0.19452712003983336,0.059592823073007985,0.15859041489211023,0.6990181952359259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,20448.0,2023-07-26T09:40:00+00:00,14.0,3.0,all_1_6_24,3.0,3.0,36.0,0.2282305812132526,0.20376772069800192,0.18240388651006828,0.06711518086327965,0.16104005232213464,0.7030801977990727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,20448.0,2023-07-26T09:40:00+00:00,14.0,7.0,all_1_6_24,3.0,3.0,36.0,0.20662853968744344,0.17794970602225518,0.17158098343238562,0.049836761704462336,0.16521226084251606,0.6761645067809979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,20448.0,2023-07-26T09:40:00+00:00,14.0,14.0,all_1_6_24,3.0,3.0,36.0,0.19709628458370795,0.16732503021152972,0.16708424351865542,0.04244389084350198,0.16684345682578108,0.6608855024526644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,20448.0,2023-07-26T09:40:00+00:00,21.0,3.0,all_1_6_24,3.0,3.0,36.0,0.22670294028231738,0.20449537922044667,0.18392994607486224,0.06277751264520588,0.16336451292927778,0.699643027436757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,20448.0,2023-07-26T09:40:00+00:00,21.0,7.0,all_1_6_24,3.0,3.0,36.0,0.1960183997801553,0.180213086554733,0.1728020089974614,0.03338588996850973,0.1653909314401898,0.6521002736813558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,20448.0,2023-07-26T09:40:00+00:00,21.0,14.0,all_1_6_24,3.0,3.0,36.0,0.17615036308140267,0.168817285681864,0.166172272629066,0.014275455889381365,0.163527259576268,0.6280253894308391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch1_proxy,development,20736.0,2023-07-27T09:40:00+00:00,7.0,3.0,all_1_6_24,3.0,3.0,36.0,0.26888116132547574,0.2838419272952558,0.22819325188083922,0.07331799688254768,0.17254457646642263,0.7141629491747375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
