origin_idx,model_origin_time,test_start_time,test_end_time,evaluation_scope,prediction_population,policy,fusion_variant,fusion_method,selected_b1_train_days,selected_b1_half_life_days,selected_b2_train_days,selected_b2_half_life_days,selected_b1_input_hours,selected_cascade_alpha,pareto_alpha,pareto_lambda_mean,pareto_lambda_min,pareto_lambda_max,effective_lambda_mean,effective_lambda_min,effective_lambda_max,pareto_history_cutoff,lambda_cap,pr_auc_fused,pr_auc_b1,pr_auc_b2,pr_auc_fused_normalized,roc_auc_fused,roc_auc_b1,roc_auc_b2,recall_at_100,lift_at_100,recall_at_100_b1,lift_at_100_b1,recall_at_100_b2,lift_at_100_b2,positives,test_prevalence,gpu_count_evaluated,decision_time_count,top_k,selected_lambda
3,2023-08-08T06:45:00+00:00,2023-08-08T06:45:00+00:00,2023-08-09T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,pareto_cap_0.6,pareto_b1_capped_full_gpu,21,3,7,0,"1,6,24",1.0,1.0,0.9035845956426717,0.09090909090909091,1.0,0.56728941491978,0.09090909090909091,0.6,decision_time_minus_10min,0.6,0.09245587897288082,0.060547927841899704,0.1669211253581758,0.07691276433281889,0.8701483174788764,0.7598506332951128,0.8546834859093836,0.37515527950310557,7.473093167701863,0.26273291925465836,5.233639751552794,0.4366459627329193,8.69798757763975,1610,0.01683818607764391,1992,48,100,0.6
3,2023-08-08T06:45:00+00:00,2023-08-08T06:45:00+00:00,2023-08-09T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,fixed_lambda_0.6,fixed_binary_lambda_0.6_full_gpu,21,3,7,0,"1,6,24",1.0,1.0,0.9035845956426717,0.09090909090909091,1.0,0.5999999999999999,0.6,0.6,decision_time_minus_10min,0.6,0.07571209364686057,0.060547927841899704,0.1669211253581758,0.05988221545580304,0.831739655047788,0.7598506332951128,0.8546834859093836,0.2888198757763975,5.753291925465838,0.26273291925465836,5.233639751552794,0.4366459627329193,8.69798757763975,1610,0.01683818607764391,1992,48,100,0.6
3,2023-08-08T06:45:00+00:00,2023-08-08T06:45:00+00:00,2023-08-09T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,b2_only_reference,b2_only_reference,21,3,7,0,"1,6,24",1.0,1.0,0.9035845956426717,0.09090909090909091,1.0,0.0,0.0,0.0,decision_time_minus_10min,0.6,0.1669211253581758,0.060547927841899704,0.1669211253581758,0.15265334470403313,0.8546834859093836,0.7598506332951128,0.8546834859093836,0.4366459627329193,8.69798757763975,0.26273291925465836,5.233639751552794,0.4366459627329193,8.69798757763975,1610,0.01683818607764391,1992,48,100,0.0
3,2023-08-08T06:45:00+00:00,2023-08-08T06:45:00+00:00,2023-08-09T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,b1_only_reference,b1_only_reference,21,3,7,0,"1,6,24",1.0,1.0,0.9035845956426717,0.09090909090909091,1.0,1.0,1.0,1.0,decision_time_minus_10min,0.6,0.060547927841899704,0.060547927841899704,0.1669211253581758,0.04445833955844395,0.7598506332951128,0.7598506332951128,0.8546834859093836,0.26273291925465836,5.233639751552794,0.26273291925465836,5.233639751552794,0.4366459627329193,8.69798757763975,1610,0.01683818607764391,1992,48,100,1.0
4,2023-08-09T06:45:00+00:00,2023-08-09T06:45:00+00:00,2023-08-10T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,pareto_current,current_pareto_full_gpu,21,3,7,0,"1,6,24",1.0,1.0,0.9023359215934202,0.09090909090909091,1.0,0.9023359215934202,0.09090909090909091,1.0,decision_time_minus_10min,0.6,0.005984435735469133,0.006172746371254534,0.004608072350271864,0.0004754262562716681,0.5601667531963415,0.5909472645650674,0.2530178109580073,0.06641366223908918,1.3229601518026566,0.04174573055028463,0.8315749525616698,0.06451612903225806,1.2851612903225806,527,0.005511629852744311,1992,48,100,1.0
4,2023-08-09T06:45:00+00:00,2023-08-09T06:45:00+00:00,2023-08-10T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,pareto_cap_0.6,pareto_b1_capped_full_gpu,21,3,7,0,"1,6,24",1.0,1.0,0.9023359215934202,0.09090909090909091,1.0,0.5660616578718674,0.09090909090909091,0.6,decision_time_minus_10min,0.6,0.006163224537588149,0.006172746371254534,0.004608072350271864,0.0006552059374483738,0.5717790042816774,0.5909472645650674,0.2530178109580073,0.07400379506641366,1.4741555977229601,0.04174573055028463,0.8315749525616698,0.06451612903225806,1.2851612903225806,527,0.005511629852744311,1992,48,100,0.6
4,2023-08-09T06:45:00+00:00,2023-08-09T06:45:00+00:00,2023-08-10T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,fixed_lambda_0.6,fixed_binary_lambda_0.6_full_gpu,21,3,7,0,"1,6,24",1.0,1.0,0.9023359215934202,0.09090909090909091,1.0,0.5999999999999999,0.6,0.6,decision_time_minus_10min,0.6,0.006204384108943631,0.006172746371254534,0.004608072350271864,0.0006965936224037928,0.5909606945080492,0.5909472645650674,0.2530178109580073,0.04364326375711575,0.8693738140417456,0.04174573055028463,0.8315749525616698,0.06451612903225806,1.2851612903225806,527,0.005511629852744311,1992,48,100,0.6
4,2023-08-09T06:45:00+00:00,2023-08-09T06:45:00+00:00,2023-08-10T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,b2_only_reference,b2_only_reference,21,3,7,0,"1,6,24",1.0,1.0,0.9023359215934202,0.09090909090909091,1.0,0.0,0.0,0.0,decision_time_minus_10min,0.6,0.004608072350271864,0.006172746371254534,0.004608072350271864,-0.0009085651774275201,0.2530178109580073,0.5909472645650674,0.2530178109580073,0.06451612903225806,1.2851612903225806,0.04174573055028463,0.8315749525616698,0.06451612903225806,1.2851612903225806,527,0.005511629852744311,1992,48,100,0.0
4,2023-08-09T06:45:00+00:00,2023-08-09T06:45:00+00:00,2023-08-10T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,b1_only_reference,b1_only_reference,21,3,7,0,"1,6,24",1.0,1.0,0.9023359215934202,0.09090909090909091,1.0,1.0,1.0,1.0,decision_time_minus_10min,0.6,0.006172746371254534,0.006172746371254534,0.004608072350271864,0.0006647805427954181,0.5909472645650674,0.5909472645650674,0.2530178109580073,0.04174573055028463,0.8315749525616698,0.04174573055028463,0.8315749525616698,0.06451612903225806,1.2851612903225806,527,0.005511629852744311,1992,48,100,1.0
5,2023-08-10T06:45:00+00:00,2023-08-10T06:45:00+00:00,2023-08-11T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,pareto_current,current_pareto_full_gpu,21,3,7,0,"1,6,24",1.0,1.0,0.901763722005627,0.09090909090909091,1.0,0.901763722005627,0.09090909090909091,1.0,decision_time_minus_10min,0.6,0.0039951136185642265,0.004105895974483282,0.004001879041285664,-0.0001995821692733595,0.5102738349211778,0.529083451115948,0.4286541300479829,0.04239401496259352,0.8444887780548628,0.034912718204488775,0.6954613466334165,0.1172069825436409,2.3347630922693265,401,0.004193858768406961,1992,48,100,1.0
5,2023-08-10T06:45:00+00:00,2023-08-10T06:45:00+00:00,2023-08-11T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,pareto_cap_0.6,pareto_b1_capped_full_gpu,21,3,7,0,"1,6,24",1.0,1.0,0.901763722005627,0.09090909090909091,1.0,0.5661002347231638,0.09090909090909091,0.6,decision_time_minus_10min,0.6,0.0040544765135630545,0.004105895974483282,0.004001879041285664,-0.00013996926617817563,0.5188255271604112,0.529083451115948,0.4286541300479829,0.029925187032418952,0.5961097256857856,0.034912718204488775,0.6954613466334165,0.1172069825436409,2.3347630922693265,401,0.004193858768406961,1992,48,100,0.6
5,2023-08-10T06:45:00+00:00,2023-08-10T06:45:00+00:00,2023-08-11T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,fixed_lambda_0.6,fixed_binary_lambda_0.6_full_gpu,21,3,7,0,"1,6,24",1.0,1.0,0.901763722005627,0.09090909090909091,1.0,0.5999999999999999,0.6,0.6,decision_time_minus_10min,0.6,0.004089714142024265,0.004105895974483282,0.004001879041285664,-0.0001045832336943536,0.5265931951091656,0.529083451115948,0.4286541300479829,0.032418952618453865,0.645785536159601,0.034912718204488775,0.6954613466334165,0.1172069825436409,2.3347630922693265,401,0.004193858768406961,1992,48,100,0.6
5,2023-08-10T06:45:00+00:00,2023-08-10T06:45:00+00:00,2023-08-11T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,b2_only_reference,b2_only_reference,21,3,7,0,"1,6,24",1.0,1.0,0.901763722005627,0.09090909090909091,1.0,0.0,0.0,0.0,decision_time_minus_10min,0.6,0.004001879041285664,0.004105895974483282,0.004001879041285664,-0.0001927882538300684,0.4286541300479829,0.529083451115948,0.4286541300479829,0.1172069825436409,2.3347630922693265,0.034912718204488775,0.6954613466334165,0.1172069825436409,2.3347630922693265,401,0.004193858768406961,1992,48,100,0.0
5,2023-08-10T06:45:00+00:00,2023-08-10T06:45:00+00:00,2023-08-11T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,b1_only_reference,b1_only_reference,21,3,7,0,"1,6,24",1.0,1.0,0.901763722005627,0.09090909090909091,1.0,1.0,1.0,1.0,decision_time_minus_10min,0.6,0.004105895974483282,0.004105895974483282,0.004001879041285664,-8.833325110336072e-05,0.529083451115948,0.529083451115948,0.4286541300479829,0.034912718204488775,0.6954613466334165,0.034912718204488775,0.6954613466334165,0.1172069825436409,2.3347630922693265,401,0.004193858768406961,1992,48,100,1.0
6,2023-08-11T06:45:00+00:00,2023-08-11T06:45:00+00:00,2023-08-12T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,pareto_current,current_pareto_full_gpu,21,3,7,0,"1,6,24",1.0,1.0,0.90023595690482,0.09090909090909091,1.0,0.90023595690482,0.09090909090909091,1.0,decision_time_minus_10min,0.6,0.004847884356115943,0.006517994284014571,0.004289788898153691,0.0006672755691730596,0.608769823349017,0.6918427050075617,0.4226055757435725,0.0075,0.1494,0.0125,0.249,0.0025,0.049800000000000004,400,0.004183400267737617,1992,48,100,1.0
6,2023-08-11T06:45:00+00:00,2023-08-11T06:45:00+00:00,2023-08-12T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,pareto_cap_0.6,pareto_b1_capped_full_gpu,21,3,7,0,"1,6,24",1.0,1.0,0.90023595690482,0.09090909090909091,1.0,0.5658358565032133,0.09090909090909091,0.6,decision_time_minus_10min,0.6,0.005244793681576258,0.006517994284014571,0.004289788898153691,0.001065852300638501,0.6311881406486305,0.6918427050075617,0.4226055757435725,0.0075,0.1494,0.0125,0.249,0.0025,0.049800000000000004,400,0.004183400267737617,1992,48,100,0.6
6,2023-08-11T06:45:00+00:00,2023-08-11T06:45:00+00:00,2023-08-12T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,fixed_lambda_0.6,fixed_binary_lambda_0.6_full_gpu,21,3,7,0,"1,6,24",1.0,1.0,0.90023595690482,0.09090909090909091,1.0,0.5999999999999999,0.6,0.6,decision_time_minus_10min,0.6,0.0061091378492470014,0.006517994284014571,0.004289788898153691,0.001933827556225858,0.6729438067131575,0.6918427050075617,0.4226055757435725,0.0125,0.249,0.0125,0.249,0.0025,0.049800000000000004,400,0.004183400267737617,1992,48,100,0.6
6,2023-08-11T06:45:00+00:00,2023-08-11T06:45:00+00:00,2023-08-12T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,b2_only_reference,b2_only_reference,21,3,7,0,"1,6,24",1.0,1.0,0.90023595690482,0.09090909090909091,1.0,0.0,0.0,0.0,decision_time_minus_10min,0.6,0.004289788898153691,0.006517994284014571,0.004289788898153691,0.00010683556635295905,0.4226055757435725,0.6918427050075617,0.4226055757435725,0.0025,0.049800000000000004,0.0125,0.249,0.0025,0.049800000000000004,400,0.004183400267737617,1992,48,100,0.0
6,2023-08-11T06:45:00+00:00,2023-08-11T06:45:00+00:00,2023-08-12T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,b1_only_reference,b1_only_reference,21,3,7,0,"1,6,24",1.0,1.0,0.90023595690482,0.09090909090909091,1.0,1.0,1.0,1.0,decision_time_minus_10min,0.6,0.006517994284014571,0.006517994284014571,0.004289788898153691,0.002344401586501609,0.6918427050075617,0.6918427050075617,0.4226055757435725,0.0125,0.249,0.0125,0.249,0.0025,0.049800000000000004,400,0.004183400267737617,1992,48,100,1.0
7,2023-08-12T06:45:00+00:00,2023-08-12T06:45:00+00:00,2023-08-13T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,pareto_current,current_pareto_full_gpu,21,3,7,0,"1,6,24",1.0,1.0,0.9023830746416402,0.09090909090909091,1.0,0.9023830746416402,0.09090909090909091,1.0,decision_time_minus_10min,0.6,0.006058800106585733,0.004548200134058118,0.005656114618589922,0.004173712275279524,0.8556059242543664,0.7668566178652155,0.7136612029766578,0.09392265193370165,1.870939226519337,0.11049723756906077,2.2011049723756906,0.0,0.0,181,0.0018929886211512717,1992,48,100,1.0
7,2023-08-12T06:45:00+00:00,2023-08-12T06:45:00+00:00,2023-08-13T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,pareto_cap_0.6,pareto_b1_capped_full_gpu,21,3,7,0,"1,6,24",1.0,1.0,0.9023830746416402,0.09090909090909091,1.0,0.5676399354180791,0.09090909090909091,0.6,decision_time_minus_10min,0.6,0.005097469865605027,0.004548200134058118,0.005656114618589922,0.0032105587957215933,0.8279258654830586,0.7668566178652155,0.7136612029766578,0.08287292817679558,1.650828729281768,0.11049723756906077,2.2011049723756906,0.0,0.0,181,0.0018929886211512717,1992,48,100,0.6
7,2023-08-12T06:45:00+00:00,2023-08-12T06:45:00+00:00,2023-08-13T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,fixed_lambda_0.6,fixed_binary_lambda_0.6_full_gpu,21,3,7,0,"1,6,24",1.0,1.0,0.9023830746416402,0.09090909090909091,1.0,0.5999999999999999,0.6,0.6,decision_time_minus_10min,0.6,0.004885552565757127,0.004548200134058118,0.005656114618589922,0.0029982395780105147,0.7910045511292144,0.7668566178652155,0.7136612029766578,0.11049723756906077,2.2011049723756906,0.11049723756906077,2.2011049723756906,0.0,0.0,181,0.0018929886211512717,1992,48,100,0.6
7,2023-08-12T06:45:00+00:00,2023-08-12T06:45:00+00:00,2023-08-13T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,b2_only_reference,b2_only_reference,21,3,7,0,"1,6,24",1.0,1.0,0.9023830746416402,0.09090909090909091,1.0,0.0,0.0,0.0,decision_time_minus_10min,0.6,0.005656114618589922,0.004548200134058118,0.005656114618589922,0.003770263062514737,0.7136612029766578,0.7668566178652155,0.7136612029766578,0.0,0.0,0.11049723756906077,2.2011049723756906,0.0,0.0,181,0.0018929886211512717,1992,48,100,0.0
7,2023-08-12T06:45:00+00:00,2023-08-12T06:45:00+00:00,2023-08-13T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,b1_only_reference,b1_only_reference,21,3,7,0,"1,6,24",1.0,1.0,0.9023830746416402,0.09090909090909091,1.0,1.0,1.0,1.0,decision_time_minus_10min,0.6,0.004548200134058118,0.004548200134058118,0.005656114618589922,0.0026602473308335625,0.7668566178652155,0.7668566178652155,0.7136612029766578,0.11049723756906077,2.2011049723756906,0.11049723756906077,2.2011049723756906,0.0,0.0,181,0.0018929886211512717,1992,48,100,1.0
8,2023-08-13T06:45:00+00:00,2023-08-13T06:45:00+00:00,2023-08-14T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,pareto_current,current_pareto_full_gpu,21,3,7,0,"1,6,24",1.0,1.0,0.9028071792943781,0.09090909090909091,1.0,0.9028071792943781,0.09090909090909091,1.0,decision_time_minus_10min,0.6,0.02655965589893239,0.024880618749720813,0.04395196725316627,0.0017966631465007859,0.49380568130628716,0.5000610196186575,0.4963120002006739,0.08473861720067453,1.687993254637437,0.03541315345699832,0.7054300168634065,0.15556492411467115,3.0988532883642494,2372,0.02480756358768407,1992,48,100,1.0
8,2023-08-13T06:45:00+00:00,2023-08-13T06:45:00+00:00,2023-08-14T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,pareto_cap_0.6,pareto_b1_capped_full_gpu,21,3,7,0,"1,6,24",1.0,1.0,0.9028071792943781,0.09090909090909091,1.0,0.5678130360547528,0.09090909090909091,0.6,decision_time_minus_10min,0.6,0.026756689121063423,0.024880618749720813,0.04395196725316627,0.0019987086246793396,0.49290935392775004,0.5000610196186575,0.4963120002006739,0.08979763912310287,1.788768971332209,0.03541315345699832,0.7054300168634065,0.15556492411467115,3.0988532883642494,2372,0.02480756358768407,1992,48,100,0.6
8,2023-08-13T06:45:00+00:00,2023-08-13T06:45:00+00:00,2023-08-14T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,fixed_lambda_0.6,fixed_binary_lambda_0.6_full_gpu,21,3,7,0,"1,6,24",1.0,1.0,0.9028071792943781,0.09090909090909091,1.0,0.5999999999999999,0.6,0.6,decision_time_minus_10min,0.6,0.02581622351814543,0.024880618749720813,0.04395196725316627,0.0010343188613851115,0.49956988764649685,0.5000610196186575,0.4963120002006739,0.05269814502529511,1.0497470489038787,0.03541315345699832,0.7054300168634065,0.15556492411467115,3.0988532883642494,2372,0.02480756358768407,1992,48,100,0.6
8,2023-08-13T06:45:00+00:00,2023-08-13T06:45:00+00:00,2023-08-14T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,b2_only_reference,b2_only_reference,21,3,7,0,"1,6,24",1.0,1.0,0.9028071792943781,0.09090909090909091,1.0,0.0,0.0,0.0,decision_time_minus_10min,0.6,0.04395196725316627,0.024880618749720813,0.04395196725316627,0.019631411145797542,0.4963120002006739,0.5000610196186575,0.4963120002006739,0.15556492411467115,3.0988532883642494,0.03541315345699832,0.7054300168634065,0.15556492411467115,3.0988532883642494,2372,0.02480756358768407,1992,48,100,0.0
8,2023-08-13T06:45:00+00:00,2023-08-13T06:45:00+00:00,2023-08-14T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,b1_only_reference,b1_only_reference,21,3,7,0,"1,6,24",1.0,1.0,0.9028071792943781,0.09090909090909091,1.0,1.0,1.0,1.0,decision_time_minus_10min,0.6,0.024880618749720813,0.024880618749720813,0.04395196725316627,7.491358557446402e-05,0.5000610196186575,0.5000610196186575,0.4963120002006739,0.03541315345699832,0.7054300168634065,0.03541315345699832,0.7054300168634065,0.15556492411467115,3.0988532883642494,2372,0.02480756358768407,1992,48,100,1.0
9,2023-08-14T06:45:00+00:00,2023-08-14T06:45:00+00:00,2023-08-15T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,pareto_current,current_pareto_full_gpu,21,3,7,0,"1,6,24",1.0,1.0,0.8933714701881118,0.09090909090909091,1.0,0.8933714701881118,0.09090909090909091,1.0,decision_time_minus_10min,0.6,0.011414394305655835,0.014440459640418365,0.00770284850356385,0.001736196664127705,0.6072308275237907,0.6866205717478361,0.3666678389595016,0.043149946062567425,0.8595469255663429,0.042071197411003236,0.8380582524271845,0.06796116504854369,1.35378640776699,927,0.009695030120481929,1992,48,100,1.0
9,2023-08-14T06:45:00+00:00,2023-08-14T06:45:00+00:00,2023-08-15T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,pareto_cap_0.6,pareto_b1_capped_full_gpu,21,3,7,0,"1,6,24",1.0,1.0,0.8933714701881118,0.09090909090909091,1.0,0.5656146094116726,0.09090909090909091,0.6,decision_time_minus_10min,0.6,0.012064052311840958,0.014440459640418365,0.00770284850356385,0.0023922147857616508,0.6270002759160366,0.6866205717478361,0.3666678389595016,0.04422869471413161,0.8810355987055015,0.042071197411003236,0.8380582524271845,0.06796116504854369,1.35378640776699,927,0.009695030120481929,1992,48,100,0.6
9,2023-08-14T06:45:00+00:00,2023-08-14T06:45:00+00:00,2023-08-15T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,adst,fixed_lambda_0.6,fixed_binary_lambda_0.6_full_gpu,21,3,7,0,"1,6,24",1.0,1.0,0.8933714701881118,0.09090909090909091,1.0,0.5999999999999999,0.6,0.6,decision_time_minus_10min,0.6,0.013814426632266386,0.014440459640418365,0.00770284850356385,0.004159725172625994,0.671902987743798,0.6866205717478361,0.3666678389595016,0.04638619201725998,0.9240129449838187,0.042071197411003236,0.8380582524271845,0.06796116504854369,1.35378640776699,927,0.009695030120481929,1992,48,100,0.6
