origin_idx,model_origin_time,test_start_time,test_end_time,evaluation_scope,prediction_population,policy,selected_b1_train_days,selected_b1_half_life_days,selected_b2_train_days,selected_b2_half_life_days,selected_b1_input_hours,selected_cascade_alpha,selected_lambda,lambda_mode,pareto_variant,pareto_w_clean,pareto_w_rep,pareto_alpha,pareto_lambda_mean,pareto_lambda_min,pareto_lambda_max,pareto_history_cutoff,fusion_method,pr_auc_fused,pr_auc_b1,pr_auc_b2,pr_auc_fused_normalized,roc_auc_fused,roc_auc_b1,roc_auc_b2,recall_at_100,lift_at_100,recall_at_100_b1,lift_at_100_b1,recall_at_100_b2,lift_at_100_b2,positives,test_prevalence,gpu_count_evaluated,decision_time_count,top_k,calibration
2,2023-08-07T06:45:00+00:00,2023-08-07T06:45:00+00:00,2023-08-08T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,momentum_skip_retrain,7,3,7,0,"1,6,24",1.0,1.5,gpu_dynamic_pareto,wc0.50_wr0.05_a1.5,0.5,0.05,1.5,0.45190855715999406,0.06423024947075771,0.5,decision_time_minus_10min,report_pareto_formula_full_gpu_before_top100,0.08952764956151993,0.08667685269575917,0.2242145920557747,0.05120513264243836,0.790401886534082,0.76015393794907,0.7030838866228746,0.1020196789228379,2.032232004142931,0.12868979803210773,2.5635007767995854,0.2092180217503884,4.167622993267737,3862,0.040390729585006696,1992,48,100,platt
3,2023-08-08T06:45:00+00:00,2023-08-08T06:45:00+00:00,2023-08-09T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,momentum_skip_retrain,7,3,7,0,"1,6,24",1.0,1.0,gpu_dynamic_pareto,wc0.30_wr0.02_a1.0,0.3,0.02,1.0,0.273003686779948,0.045454545454545456,0.3,decision_time_minus_10min,report_pareto_formula_full_gpu_before_top100,0.046374634648963485,0.05608632867507911,0.1669211253581758,0.030042306518682768,0.8083263550113029,0.7402736947013953,0.8546834859093836,0.07391304347826087,1.4723478260869565,0.231055900621118,4.60263354037267,0.4366459627329193,8.69798757763975,1610,0.01683818607764391,1992,48,100,platt
3,2023-08-08T06:45:00+00:00,2023-08-08T06:45:00+00:00,2023-08-09T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,momentum_skip_retrain,7,3,7,0,"1,6,24",1.0,1.5,gpu_dynamic_pareto,wc0.30_wr0.02_a1.5,0.3,0.02,1.5,0.26694662722701346,0.0276748342256158,0.3,decision_time_minus_10min,report_pareto_formula_full_gpu_before_top100,0.044678415892570544,0.05608632867507911,0.1669211253581758,0.028317037359147555,0.8057542580538337,0.7402736947013953,0.8546834859093836,0.034161490683229816,0.6804968944099378,0.231055900621118,4.60263354037267,0.4366459627329193,8.69798757763975,1610,0.01683818607764391,1992,48,100,platt
3,2023-08-08T06:45:00+00:00,2023-08-08T06:45:00+00:00,2023-08-09T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,momentum_skip_retrain,7,3,7,0,"1,6,24",1.0,1.0,gpu_dynamic_pareto,wc0.30_wr0.05_a1.0,0.3,0.05,1.0,0.2758961489106679,0.07272727272727272,0.3,decision_time_minus_10min,report_pareto_formula_full_gpu_before_top100,0.04726291139150015,0.05608632867507911,0.1669211253581758,0.030945796391822628,0.8087159231147265,0.7402736947013953,0.8546834859093836,0.0906832298136646,1.8064099378881988,0.231055900621118,4.60263354037267,0.4366459627329193,8.69798757763975,1610,0.01683818607764391,1992,48,100,platt
3,2023-08-08T06:45:00+00:00,2023-08-08T06:45:00+00:00,2023-08-09T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,momentum_skip_retrain,7,3,7,0,"1,6,24",1.0,1.5,gpu_dynamic_pareto,wc0.30_wr0.05_a1.5,0.3,0.05,1.5,0.2704880600241191,0.05685253055858554,0.3,decision_time_minus_10min,report_pareto_formula_full_gpu_before_top100,0.04562603691601677,0.05608632867507911,0.1669211253581758,0.029280887876963806,0.8073144267387188,0.7402736947013953,0.8546834859093836,0.061490683229813665,1.2248944099378882,0.231055900621118,4.60263354037267,0.4366459627329193,8.69798757763975,1610,0.01683818607764391,1992,48,100,platt
3,2023-08-08T06:45:00+00:00,2023-08-08T06:45:00+00:00,2023-08-09T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,momentum_skip_retrain,7,3,7,0,"1,6,24",1.0,1.0,gpu_dynamic_pareto,wc0.50_wr0.02_a1.0,0.5,0.02,1.0,0.4537206059084824,0.06363636363636363,0.5,decision_time_minus_10min,report_pareto_formula_full_gpu_before_top100,0.04249224210124755,0.05608632867507911,0.1669211253581758,0.026093421917248748,0.7970972713120069,0.7402736947013953,0.8546834859093836,0.0670807453416149,1.3362484472049687,0.231055900621118,4.60263354037267,0.4366459627329193,8.69798757763975,1610,0.01683818607764391,1992,48,100,platt
3,2023-08-08T06:45:00+00:00,2023-08-08T06:45:00+00:00,2023-08-09T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,momentum_skip_retrain,7,3,7,0,"1,6,24",1.0,1.5,gpu_dynamic_pareto,wc0.50_wr0.02_a1.5,0.5,0.02,1.5,0.44333707524630883,0.03315685867248423,0.5,decision_time_minus_10min,report_pareto_formula_full_gpu_before_top100,0.040915697209482176,0.05608632867507911,0.1669211253581758,0.024489876224728716,0.7942713845541509,0.7402736947013953,0.8546834859093836,0.02608695652173913,0.5196521739130435,0.231055900621118,4.60263354037267,0.4366459627329193,8.69798757763975,1610,0.01683818607764391,1992,48,100,platt
3,2023-08-08T06:45:00+00:00,2023-08-08T06:45:00+00:00,2023-08-09T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,momentum_skip_retrain,7,3,7,0,"1,6,24",1.0,1.0,gpu_dynamic_pareto,wc0.50_wr0.05_a1.0,0.5,0.05,1.0,0.4566130680392023,0.09090909090909091,0.5,decision_time_minus_10min,report_pareto_formula_full_gpu_before_top100,0.04296726685514798,0.05608632867507911,0.1669211253581758,0.026576582214133445,0.7972172781887981,0.7402736947013953,0.8546834859093836,0.07701863354037267,1.5342111801242235,0.231055900621118,4.60263354037267,0.4366459627329193,8.69798757763975,1610,0.01683818607764391,1992,48,100,platt
3,2023-08-08T06:45:00+00:00,2023-08-08T06:45:00+00:00,2023-08-09T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,momentum_skip_retrain,7,3,7,0,"1,6,24",1.0,1.5,gpu_dynamic_pareto,wc0.50_wr0.05_a1.5,0.5,0.05,1.5,0.44687850804341456,0.06233455500545397,0.5,decision_time_minus_10min,report_pareto_formula_full_gpu_before_top100,0.04140845225368631,0.05608632867507911,0.1669211253581758,0.024991070470911116,0.795383022333846,0.7402736947013953,0.8546834859093836,0.0391304347826087,0.7794782608695652,0.231055900621118,4.60263354037267,0.4366459627329193,8.69798757763975,1610,0.01683818607764391,1992,48,100,platt
4,2023-08-09T06:45:00+00:00,2023-08-09T06:45:00+00:00,2023-08-10T06:40:00+00:00,common_terminal_heldout,all_gpus_before_top100,momentum_skip_retrain,7,3,7,0,"1,6,24",1.0,1.0,gpu_dynamic_pareto,wc0.30_wr0.02_a1.0,0.3,0.02,1.0,0.2726540580461576,0.045454545454545456,0.3,decision_time_minus_10min,report_pareto_formula_full_gpu_before_top100,0.006173985337003101,0.006169631559244072,0.004608072350271864,0.0006660263751105646,0.5902017131538589,0.5961135620812485,0.2530178109580073,0.036053130929791274,0.7181783681214422,0.028462998102466792,0.5669829222011386,0.06451612903225806,1.2851612903225806,527,0.005511629852744311,1992,48,100,platt
