origin_idx,origin_time,test_end_time,selected_L_train_days,selected_L_obs_hours,pr_auc_fused,pr_auc_b1,pr_auc_b2,roc_auc_fused,recall_at_100,lift_at_100,positives,best_branch_pr_auc,fused_minus_b1,fused_minus_b2,fused_minus_best_branch,fused_beats_b1,fused_beats_b2,fused_beats_best_branch
15,2023-06-30 09:40:00+00:00,2023-07-01 09:35:00+00:00,21,24,0.0034350697718509,0.00359529263554,0.0019672427919423,0.7336066882805609,0.0914634146341463,1.8219512195121952,164,0.00359529263554,-0.00016022286368910007,0.0014678269799085998,-0.00016022286368910007,False,True,False
16,2023-07-01 09:40:00+00:00,2023-07-02 09:35:00+00:00,14,24,0.0156122746235034,0.0158863768723636,0.0054553557113581,0.8414004082834088,0.2253886010362694,4.489740932642487,386,0.0158863768723636,-0.0002741022488601981,0.010156918912145301,-0.0002741022488601981,False,True,False
17,2023-07-02 09:40:00+00:00,2023-07-03 09:35:00+00:00,21,24,0.0175783340036226,0.0185079250831905,0.0051685739679856,0.8298573447902011,0.208067940552017,4.1447133757961785,471,0.0185079250831905,-0.0009295910795679013,0.012409760035637,-0.0009295910795679013,False,True,False
18,2023-07-03 09:40:00+00:00,2023-07-04 09:35:00+00:00,14,24,0.0342506243925412,0.037222882487507,0.0188000363058369,0.6777483152742788,0.1232106339468302,2.454355828220858,1956,0.037222882487507,-0.0029722580949657976,0.015450588086704301,-0.0029722580949657976,False,True,False
19,2023-07-04 09:40:00+00:00,2023-07-05 09:35:00+00:00,21,1,0.0276281787596603,0.0244282738585412,0.0294529788553794,0.6168139444704122,0.1370284834488067,2.729607390300231,1299,0.0294529788553794,0.0031999049011190994,-0.0018248000957191007,-0.0018248000957191007,True,False,False
20,2023-07-05 09:40:00+00:00,2023-07-06 09:35:00+00:00,14,1,0.0238989633924837,0.0198367974628129,0.0233129607272655,0.6559283854172222,0.0536705737199259,1.0691178285009253,1621,0.0233129607272655,0.004062165929670802,0.0005860026652182021,0.0005860026652182021,True,True,True
21,2023-07-06 09:40:00+00:00,2023-07-07 09:35:00+00:00,14,1,0.0454014040806724,0.0049038363236708,0.0419146454452237,0.7066071954934661,0.2404580152671755,4.789923664122138,262,0.0419146454452237,0.0404975677570016,0.0034867586354487,0.0034867586354487,True,True,True
22,2023-07-07 09:40:00+00:00,2023-07-08 09:35:00+00:00,7,24,0.0084704492686226,0.0078130545650439,0.0057388959193807,0.7580339414396239,0.0048426150121065,0.0964648910411622,413,0.0078130545650439,0.0006573947035786992,0.0027315533492418996,0.0006573947035786992,True,True,True
23,2023-07-08 09:40:00+00:00,2023-07-09 09:35:00+00:00,7,24,0.0063217910328194,0.0057651703315963,0.0045942228038854,0.5885846199299418,0.1728723404255319,3.443617021276596,376,0.0057651703315963,0.0005566207012231003,0.0017275682289339999,0.0005566207012231003,True,True,True
24,2023-07-09 09:40:00+00:00,2023-07-10 09:35:00+00:00,21,1,0.0045134305261488,0.0057558360954442,0.0032071790118809,0.5790653284504795,0.0253521126760563,0.5050140845070422,355,0.0057558360954442,-0.0012424055692954001,0.0013062515142678996,-0.0012424055692954001,False,True,False
25,2023-07-10 09:40:00+00:00,2023-07-11 09:35:00+00:00,7,24,0.0439547560764724,0.0382747197122238,0.0072423229291267,0.7226752076049352,0.3130590339892665,6.23613595706619,559,0.0382747197122238,0.005680036364248603,0.0367124331473457,0.005680036364248603,True,True,True
26,2023-07-11 09:40:00+00:00,2023-07-12 09:35:00+00:00,14,24,0.0072461041458351,0.0071143522526581,0.0061674454514233,0.5370242661482416,0.0833333333333333,1.66,456,0.0071143522526581,0.00013175189317699964,0.0010786586944117995,0.00013175189317699964,True,True,True
27,2023-07-12 09:40:00+00:00,2023-07-13 09:35:00+00:00,14,24,0.0414764201108027,0.080998993358316,0.0703400430361052,0.710531097001224,0.21875,4.3575,1376,0.080998993358316,-0.03952257324751329,-0.028863622925302493,-0.03952257324751329,False,False,False
28,2023-07-13 09:40:00+00:00,2023-07-14 09:35:00+00:00,14,24,0.3563384138156432,0.0753420321722215,0.5994334199688885,0.990798462682347,0.968,19.28256,125,0.5994334199688885,0.28099638164342167,-0.24309500615324536,-0.24309500615324536,True,False,False
29,2023-07-14 09:40:00+00:00,2023-07-15 09:35:00+00:00,14,6,0.0108784945975791,0.0132156587577101,0.0018847617935212,0.901232146599994,0.3826530612244898,7.622448979591837,196,0.0132156587577101,-0.0023371641601309997,0.0089937328040579,-0.0023371641601309997,False,True,False
30,2023-07-15 09:40:00+00:00,2023-07-16 09:35:00+00:00,14,6,0.0325705981332678,0.0180748576701153,0.03598053311699,0.9384481948168976,0.5134228187919463,10.22738255033557,298,0.03598053311699,0.014495740463152499,-0.0034099349837222043,-0.0034099349837222043,True,False,False
31,2023-07-16 09:40:00+00:00,2023-07-17 09:35:00+00:00,7,1,0.0942896934460363,0.0793655488929671,0.0043052167057986,0.9145484593833187,0.3518518518518518,7.0088888888888885,162,0.0793655488929671,0.014924144553069202,0.0899844767402377,0.014924144553069202,True,True,True
32,2023-07-17 09:40:00+00:00,2023-07-18 09:35:00+00:00,7,1,0.0796652413625112,0.0116410397429562,0.058070304319556,0.7687373832634131,0.2889344262295082,5.755573770491803,488,0.058070304319556,0.068024201619555,0.021594937042955197,0.021594937042955197,True,True,True
33,2023-07-18 09:40:00+00:00,2023-07-19 09:35:00+00:00,7,1,0.3578094357175,0.0564431419374724,0.3781405842469261,0.9534317455518828,0.8292682926829268,16.519024390243903,738,0.3781405842469261,0.3013662937800276,-0.02033114852942608,-0.02033114852942608,True,False,False
34,2023-07-19 09:40:00+00:00,2023-07-20 09:35:00+00:00,7,1,0.0,0.0,0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,False,False,False
35,2023-07-20 09:40:00+00:00,2023-07-21 09:35:00+00:00,7,24,0.0001138173899096,0.0001348597291531,0.0001698137788435,0.4300543561636193,0.0,0.0,12,0.0001698137788435,-2.1042339243499997e-05,-5.59963889339e-05,-5.59963889339e-05,False,False,False
36,2023-07-21 09:40:00+00:00,2023-07-22 09:35:00+00:00,7,1,0.0078064684614253,0.0080172183437307,0.0043572439699843,0.7634746757394354,0.1909722222222222,3.804166666666666,288,0.0080172183437307,-0.0002107498823053994,0.0034492244914410006,-0.0002107498823053994,False,True,False
37,2023-07-22 09:40:00+00:00,2023-07-23 09:35:00+00:00,14,24,0.016324886103044,0.0178683590541605,0.0048136699139947,0.8577426192324795,0.6116504854368932,12.184077669902912,206,0.0178683590541605,-0.0015434729511164987,0.011511216189049302,-0.0015434729511164987,False,True,False
38,2023-07-23 09:40:00+00:00,2023-07-24 09:35:00+00:00,14,24,0.0177531646013954,0.0172045308803286,0.0133179026758214,0.7019449261162105,0.248041775456919,4.940992167101827,383,0.0172045308803286,0.0005486337210667998,0.0044352619255740005,0.0005486337210667998,True,True,True
39,2023-07-24 09:40:00+00:00,2023-07-25 09:35:00+00:00,14,24,0.0664198700092018,0.0582343072296494,0.0594156014746727,0.5194291202058654,0.1443152821094414,2.874760419620074,3527,0.0594156014746727,0.008185562779552395,0.007004268534529096,0.007004268534529096,True,True,True
40,2023-07-25 09:40:00+00:00,2023-07-26 09:35:00+00:00,7,1,0.0881548786464766,0.0451407605166113,0.0812760552231626,0.7516973288902571,0.336935791481246,6.711760966306421,1573,0.0812760552231626,0.0430141181298653,0.006878823423314001,0.006878823423314001,True,True,True
41,2023-07-26 09:40:00+00:00,2023-07-27 09:35:00+00:00,7,6,0.0322902433554079,0.0336277539657471,0.0134509487104277,0.6901879956600259,0.2486288848263254,4.952687385740402,1094,0.0336277539657471,-0.001337510610339196,0.0188392946449802,-0.001337510610339196,False,True,False
42,2023-07-27 09:40:00+00:00,2023-07-28 09:35:00+00:00,7,6,0.0161804893068141,0.0117222877123853,0.103769488977942,0.6217975851431659,0.1422872340425532,2.8343617021276595,752,0.103769488977942,0.0044582015944288015,-0.0875889996711279,-0.0875889996711279,True,False,False
43,2023-07-28 09:40:00+00:00,2023-07-29 09:35:00+00:00,21,24,0.0248659296530358,0.0094710010506898,0.0017224784861916,0.8896450620513572,0.52,10.3584,50,0.0094710010506898,0.015394928602346002,0.0231434511668442,0.015394928602346002,True,True,True
44,2023-07-29 09:40:00+00:00,2023-07-30 09:35:00+00:00,21,24,0.0038764436500566,0.0038974013376001,0.0051048542192409,0.3659300590766015,0.0351288056206089,0.6997658079625293,427,0.0051048542192409,-2.0957687543500265e-05,-0.0012284105691843005,-0.0012284105691843005,False,False,False
45,2023-07-30 09:40:00+00:00,2023-07-31 09:35:00+00:00,7,1,0.0143213243510286,0.0235606025493976,0.0067724961337752,0.7709396030278449,0.398406374501992,7.93625498007968,502,0.0235606025493976,-0.009239278198369,0.0075488282172534,-0.009239278198369,False,True,False
46,2023-07-31 09:40:00+00:00,2023-08-01 09:35:00+00:00,14,1,0.0098896586074545,0.0104007200463599,0.0072191709685066,0.6538385392154062,0.0788177339901477,1.5700492610837438,609,0.0104007200463599,-0.0005110614389054,0.0026704876389479007,-0.0005110614389054,False,True,False
47,2023-08-01 09:40:00+00:00,2023-08-02 09:35:00+00:00,21,1,0.008808162563894,0.007714296242508,0.0083413735680959,0.6685186202980206,0.1186440677966101,2.3633898305084746,413,0.0083413735680959,0.001093866321386001,0.0004667889957981012,0.0004667889957981012,True,True,True
48,2023-08-02 09:40:00+00:00,2023-08-03 09:35:00+00:00,7,1,0.0219848025257309,0.0254158692316656,0.0146298594871952,0.6315548517263003,0.119047619047619,2.371428571428572,1302,0.0254158692316656,-0.0034310667059346996,0.007354943038535702,-0.0034310667059346996,False,True,False
49,2023-08-03 09:40:00+00:00,2023-08-04 09:35:00+00:00,21,6,0.0099290994375804,0.0084700916050507,0.0101189869043317,0.7020796690743389,0.0383838383838383,0.7646060606060606,495,0.0101189869043317,0.0014590078325296997,-0.0001898874667513005,-0.0001898874667513005,True,False,False
50,2023-08-04 09:40:00+00:00,2023-08-05 09:35:00+00:00,21,6,0.0111800216148062,0.0110453331846369,0.0084644001324243,0.6655093250551785,0.0826330532212885,1.6460504201680672,714,0.0110453331846369,0.00013468843016930035,0.0027156214823819014,0.00013468843016930035,True,True,True
51,2023-08-05 09:40:00+00:00,2023-08-06 09:35:00+00:00,21,6,0.0067852562598177,0.0030870189339261,0.0124300483485239,0.8080523057561229,0.1904761904761904,3.7942857142857145,147,0.0124300483485239,0.0036982373258916,-0.0056447920887061995,-0.0056447920887061995,True,False,False
52,2023-08-06 09:40:00+00:00,2023-08-07 09:35:00+00:00,7,6,0.0339508252210831,0.0420123034891644,0.0331737995917181,0.6288888571997066,0.0459143968871595,0.9146147859922178,2570,0.0420123034891644,-0.008061478268081297,0.0007770256293649982,-0.008061478268081297,False,True,False
53,2023-08-07 09:40:00+00:00,2023-08-08 09:35:00+00:00,21,6,0.2511517223256386,0.1191238966200629,0.206543925405301,0.7949020032447414,0.3493132238082413,6.958319418260167,3713,0.206543925405301,0.1320278257055757,0.04460779692033759,0.04460779692033759,True,True,True
54,2023-08-08 09:40:00+00:00,2023-08-09 09:35:00+00:00,21,6,0.2420152871549969,0.0422765682462255,0.2456245905014139,0.855935463815443,0.6477449455676516,12.90307931570762,1286,0.2456245905014139,0.1997387189087714,-0.0036093033464169866,-0.0036093033464169866,True,False,False
55,2023-08-09 09:40:00+00:00,2023-08-10 09:35:00+00:00,21,1,0.0086635809247497,0.0090449604453213,0.0063965265562048,0.5887048749977336,0.0640138408304498,1.2751557093425607,578,0.0090449604453213,-0.00038137952057160085,0.0022670543685448996,-0.00038137952057160085,False,True,False
56,2023-08-10 09:40:00+00:00,2023-08-11 09:35:00+00:00,14,24,0.0120915001643073,0.0119744413456859,0.0062255402571271,0.5813831473734694,0.2351485148514851,4.684158415841584,404,0.0119744413456859,0.00011705881862139958,0.0058659599071802,0.00011705881862139958,True,True,True
57,2023-08-11 09:40:00+00:00,2023-08-12 09:35:00+00:00,21,24,0.0186687958549085,0.0216035564453628,0.0031924665402317,0.8818632483283664,0.3495440729483283,6.9629179331307,329,0.0216035564453628,-0.0029347605904543016,0.0154763293146768,-0.0029347605904543016,False,True,False
58,2023-08-12 09:40:00+00:00,2023-08-13 09:35:00+00:00,7,1,0.0075610091924376,0.0043229565459944,0.0100724418220659,0.6278650454873969,0.1196013289036544,2.3824584717607973,301,0.0100724418220659,0.0032380526464432,-0.0025114326296282992,-0.0025114326296282992,True,False,False
59,2023-08-13 09:40:00+00:00,2023-08-14 09:35:00+00:00,7,6,0.1038696432588408,0.0549813124815616,0.0797980623466803,0.6663950809200242,0.1920503738685557,3.825643447461629,2541,0.0797980623466803,0.04888833077727919,0.024071580912160495,0.024071580912160495,True,True,True
60,2023-08-14 09:40:00+00:00,2023-08-15 09:35:00+00:00,21,1,0.0108800822606798,0.0129959351448278,0.0094311081977092,0.689789949521825,0.0215827338129496,0.4299280575539568,695,0.0129959351448278,-0.0021158528841479993,0.0014489740629705997,-0.0021158528841479993,False,True,False
61,2023-08-15 09:40:00+00:00,2023-08-16 09:35:00+00:00,14,24,0.0362703105584899,0.0182573715521663,0.0421657287700685,0.8516084593635834,0.1033163265306122,2.058061224489796,784,0.0421657287700685,0.0180129390063236,-0.005895418211578601,-0.005895418211578601,True,False,False
62,2023-08-16 09:40:00+00:00,2023-08-17 09:35:00+00:00,14,24,0.0229006129526636,0.0048278117816479,0.0223683322995344,0.8348282738385546,0.5435897435897435,10.82830769230769,195,0.0223683322995344,0.0180728011710157,0.0005322806531292031,0.0005322806531292031,True,True,True
