origin_idx,origin_time,test_end_time,selected_L_train_days,selected_L_obs_hours,pr_auc_fused,pr_auc_b1,pr_auc_b2,roc_auc_fused,recall_at_100,lift_at_100,positives
42,2023-07-27 09:40:00+00:00,2023-07-28 09:35:00+00:00,7,6,0.016180489306814115,0.011722287712385322,0.10376948897794208,0.6217975851431659,0.1422872340425532,2.8343617021276595,752
43,2023-07-28 09:40:00+00:00,2023-07-29 09:35:00+00:00,21,24,0.024865929653035846,0.009471001050689834,0.0017224784861916069,0.8896450620513572,0.52,10.3584,50
44,2023-07-29 09:40:00+00:00,2023-07-30 09:35:00+00:00,21,24,0.003876443650056692,0.003897401337600138,0.005104854219240911,0.3659300590766015,0.0351288056206089,0.6997658079625293,427
45,2023-07-30 09:40:00+00:00,2023-07-31 09:35:00+00:00,7,1,0.014321324351028642,0.023560602549397618,0.00677249613377528,0.7709396030278449,0.398406374501992,7.93625498007968,502
46,2023-07-31 09:40:00+00:00,2023-08-01 09:35:00+00:00,14,1,0.009889658607454579,0.01040072004635993,0.007219170968506628,0.6538385392154062,0.07881773399014778,1.5700492610837438,609
47,2023-08-01 09:40:00+00:00,2023-08-02 09:35:00+00:00,21,1,0.008808162563894014,0.007714296242508013,0.008341373568095911,0.6685186202980206,0.11864406779661017,2.3633898305084746,413
48,2023-08-02 09:40:00+00:00,2023-08-03 09:35:00+00:00,7,1,0.0219848025257309,0.025415869231665687,0.014629859487195251,0.6315548517263003,0.11904761904761904,2.371428571428572,1302
49,2023-08-03 09:40:00+00:00,2023-08-04 09:35:00+00:00,21,6,0.009929099437580446,0.008470091605050703,0.010118986904331714,0.7020796690743389,0.03838383838383838,0.7646060606060606,495
50,2023-08-04 09:40:00+00:00,2023-08-05 09:35:00+00:00,21,6,0.011180021614806274,0.011045333184636925,0.008464400132424358,0.6655093250551785,0.08263305322128851,1.6460504201680672,714
51,2023-08-05 09:40:00+00:00,2023-08-06 09:35:00+00:00,21,6,0.006785256259817702,0.003087018933926183,0.012430048348523974,0.8080523057561229,0.19047619047619047,3.7942857142857145,147
52,2023-08-06 09:40:00+00:00,2023-08-07 09:35:00+00:00,7,6,0.033950825221083177,0.04201230348916445,0.03317379959171815,0.6288888571997066,0.045914396887159536,0.9146147859922178,2570
53,2023-08-07 09:40:00+00:00,2023-08-08 09:35:00+00:00,21,6,0.2511517223256386,0.11912389662006294,0.206543925405301,0.7949020032447414,0.3493132238082413,6.958319418260167,3713
54,2023-08-08 09:40:00+00:00,2023-08-09 09:35:00+00:00,21,6,0.24201528715499693,0.04227656824622559,0.24562459050141391,0.855935463815443,0.6477449455676516,12.90307931570762,1286
55,2023-08-09 09:40:00+00:00,2023-08-10 09:35:00+00:00,21,1,0.0086635809247497,0.009044960445321309,0.006396526556204811,0.5887048749977336,0.06401384083044982,1.2751557093425607,578
56,2023-08-10 09:40:00+00:00,2023-08-11 09:35:00+00:00,14,24,0.012091500164307378,0.011974441345685944,0.006225540257127177,0.5813831473734694,0.23514851485148514,4.684158415841584,404
57,2023-08-11 09:40:00+00:00,2023-08-12 09:35:00+00:00,21,24,0.01866879585490859,0.02160355644536286,0.003192466540231741,0.8818632483283664,0.3495440729483283,6.9629179331307,329
58,2023-08-12 09:40:00+00:00,2023-08-13 09:35:00+00:00,7,1,0.007561009192437661,0.004322956545994442,0.010072441822065962,0.6278650454873969,0.11960132890365449,2.3824584717607973,301
59,2023-08-13 09:40:00+00:00,2023-08-14 09:35:00+00:00,7,6,0.1038696432588408,0.054981312481561684,0.07979806234668033,0.6663950809200242,0.1920503738685557,3.8256434474616294,2541
60,2023-08-14 09:40:00+00:00,2023-08-15 09:35:00+00:00,21,1,0.010880082260679857,0.012995935144827815,0.009431108197709202,0.689789949521825,0.02158273381294964,0.42992805755395685,695
61,2023-08-15 09:40:00+00:00,2023-08-16 09:35:00+00:00,14,24,0.03627031055848999,0.018257371552166363,0.04216572877006859,0.8516084593635834,0.10331632653061225,2.058061224489796,784
62,2023-08-16 09:40:00+00:00,2023-08-17 09:35:00+00:00,14,24,0.02290061295266363,0.004827811781647909,0.022368332299534475,0.8348282738385546,0.5435897435897435,10.82830769230769,195
