selection_stage,selection_origin_idx,selection_origin_time,purge_hours,validation_mode,pool_origin_count,pool_validation_block_count,selection_role,candidate_b1_train_days,candidate_b1_half_life_days,candidate_L_obs_hours,val_pr_auc_mean,val_pr_auc_median,val_pr_auc_q25,val_pr_auc_std,val_pr_auc_min,val_roc_auc_mean,branch1_input_validation_ap,candidate_b2_train_days,candidate_b2_half_life_days,candidate_lambda,train_end_time,validation_start_time,validation_end_time,validation_block_count,validation_block_days,selected_b1_train_days,selected_b1_half_life_days,selected_b1_input_hours,selected_b1_input_weights,selected_b2_train_days,selected_b2_half_life_days,selected_L_train_days,selected_L_obs_hours,selected_lambda,val_pr_auc,val_roc_auc,val_pr_auc_b1,val_pr_auc_b2,val_pr_auc_b1_median,val_pr_auc_b2_median,prediction_disagreement,validation_positive_rate,latest_val_pr_auc,adst_action,adwin_triggered,adwin_loss_triggered,adwin_disagreement_triggered,adwin_prevalence_triggered,adwin_loss_raw_triggered,adwin_disagreement_raw_triggered,adwin_prevalence_raw_triggered,adwin_stable,adwin_stable_count,adwin_loss_state,adwin_disagreement_state,adwin_prevalence_state,adwin_last_batch_bin,adwin_feedback_batch_count,adwin_min_batches,adwin_consecutive_trigger_requirement,adwin_cooldown_cycles,previous_val_pr_auc,val_pr_auc_delta,candidate_count
development,18144,2023-07-18T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,fusion,,,,0.20067421270227456,0.19385793945701385,0.1561925901124794,0.07002153376359181,0.11852724076794496,0.6909429047363801,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,fusion,,,,0.17905998198656212,0.20104113772800133,0.157178398977683,0.047331109400351616,0.11331566022736464,0.6874875717755332,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,fusion,,,,0.15929997340760257,0.1609950206618137,0.13553302797258845,0.03952143855039501,0.11007103528336319,0.6788246701285705,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,fusion,,,,0.15271718748036758,0.13914581311025026,0.1235775473524037,0.04312560553444373,0.10800928159455714,0.6697204664750164,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,fusion,,,,0.14907251331548618,0.12771792146626829,0.11714830666829944,0.045965071283416106,0.10657869187033059,0.6616020019693353,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18144,2023-07-18T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,fusion,,,,0.14682916402245352,0.12166991261191337,0.11356993854519473,0.0474983355352089,0.10546996447847609,0.6548406318868579,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18432,2023-07-19T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,branch1,7.0,3.0,all_1_6_24,0.15934421154674697,0.1787637436272401,0.14058187372676373,0.04093841839080112,0.10240000382628738,0.681411510835466,"{'1': 0.15309786627459449, '6': 0.16597386682551826, '24': 0.15750287874205374}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18432,2023-07-19T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,branch1,7.0,7.0,all_1_6_24,0.15586150080379524,0.16965265283314945,0.1326506937356548,0.04461217824253809,0.09564873463816012,0.6658305531301069,"{'1': 0.1520973247157821, '6': 0.1651439752340493, '24': 0.15265051127423548}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18432,2023-07-19T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,branch1,7.0,14.0,all_1_6_24,0.15422192419310785,0.16546363471306014,0.12965862854417123,0.04540238573882345,0.09385362237528233,0.6606239389615355,"{'1': 0.1496557973438433, '6': 0.1639341489743589, '24': 0.15089411758847537}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18432,2023-07-19T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,branch1,14.0,3.0,all_1_6_24,0.15981302524957008,0.17209622555518253,0.1384180814068584,0.04088559860043353,0.10473993725853427,0.6852650701687691,"{'1': 0.15413077892240465, '6': 0.16216908853117878, '24': 0.15964494256408665}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,18432,2023-07-19T09:40:00+00:00,36,local_3_rolling_validation_blocks,1,3,branch1,14.0,7.0,all_1_6_24,0.15123149097310548,0.15235268560438486,0.12600679304410495,0.041657029911935095,0.099660900483825,0.6641305019697938,"{'1': 0.14590567290702475, '6': 0.1518803571054839, '24': 0.1535629490508027}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
