selection_role,selection_stage,selection_origin_idx,selection_origin_time,candidate_train_days,candidate_half_life_days,candidate_input_hours,validation_block_count,validation_block_days,purge_hours,val_pr_auc_mean,val_pr_auc_median,val_pr_auc_q25,val_pr_auc_std,val_pr_auc_min,val_roc_auc_mean,selection_origin_count,selected_train_days,selected_half_life_days,selected_input_hours,validation_origin_count,adst_action,candidate_count,family_validation_pr_auc,input_validation_pr_auc,selected_family_weights,selected_input_weights,candidate_cascade_alpha,validation_scope,validation_samples,selected_cascade_alpha,cascade_validation_pr_auc
branch1_proxy,development,18432.0,2023-07-19T09:40:00+00:00,7.0,7.0,all_1_6_24,3.0,3.0,36.0,0.15586150080379524,0.16965265283314945,0.1326506937356548,0.04461217824253809,0.09564873463816012,0.6658305531301069,,,,,,,,,,,,,,,,
branch1_proxy,development,18432.0,2023-07-19T09:40:00+00:00,7.0,14.0,all_1_6_24,3.0,3.0,36.0,0.15422192419310785,0.16546363471306014,0.12965862854417123,0.04540238573882345,0.09385362237528233,0.6606239389615355,,,,,,,,,,,,,,,,
branch1_proxy,development,18432.0,2023-07-19T09:40:00+00:00,14.0,3.0,all_1_6_24,3.0,3.0,36.0,0.15981302524957008,0.17209622555518253,0.1384180814068584,0.04088559860043353,0.10473993725853427,0.6852650701687691,,,,,,,,,,,,,,,,
branch1_proxy,development,18432.0,2023-07-19T09:40:00+00:00,14.0,7.0,all_1_6_24,3.0,3.0,36.0,0.15123149097310548,0.15235268560438486,0.12600679304410495,0.041657029911935095,0.099660900483825,0.6641305019697938,,,,,,,,,,,,,,,,
branch1_proxy,development,18432.0,2023-07-19T09:40:00+00:00,14.0,14.0,all_1_6_24,3.0,3.0,36.0,0.1462922083912962,0.14237138751059464,0.12027762523767474,0.040974869870384005,0.09818386296475483,0.6516383247766389,,,,,,,,,,,,,,,,
branch1_proxy,development,18432.0,2023-07-19T09:40:00+00:00,21.0,3.0,all_1_6_24,3.0,3.0,36.0,0.1546404676579953,0.16675574569410268,0.1332148779321204,0.04084244112465472,0.09967401017013812,0.6759582947694195,,,,,,,,,,,,,,,,
branch1_proxy,development,18432.0,2023-07-19T09:40:00+00:00,21.0,7.0,all_1_6_24,3.0,3.0,36.0,0.1348654448725822,0.13219402744139105,0.10889406271712199,0.04136364288717853,0.08559409799285293,0.625549810947168,,,,,,,,,,,,,,,,
branch1_proxy,development,18432.0,2023-07-19T09:40:00+00:00,21.0,14.0,all_1_6_24,3.0,3.0,36.0,0.12209785982500333,0.10765971560243198,0.09463389608268215,0.04026975612441421,0.08160807656293231,0.5915785838356782,,,,,,,,,,,,,,,,
branch1_proxy,development,18720.0,2023-07-20T09:40:00+00:00,7.0,3.0,all_1_6_24,3.0,3.0,36.0,0.19348434864188702,0.13835468057068,0.12650026082743976,0.09522300607328626,0.11464584108419948,0.6947176837354262,,,,,,,,,,,,,,,,
branch1_proxy,development,18720.0,2023-07-20T09:40:00+00:00,7.0,7.0,all_1_6_24,3.0,3.0,36.0,0.19041104818642549,0.13980385300633147,0.12900071060703178,0.08729412569218631,0.11819756820773206,0.6966454083610593,,,,,,,,,,,,,,,,
branch1_proxy,development,18720.0,2023-07-20T09:40:00+00:00,7.0,14.0,all_1_6_24,3.0,3.0,36.0,0.18846074373185187,0.14044466814539902,0.1295955007795297,0.08371799852696109,0.11874633341366038,0.6961300815535827,,,,,,,,,,,,,,,,
branch1_proxy,development,18720.0,2023-07-20T09:40:00+00:00,14.0,3.0,all_1_6_24,3.0,3.0,36.0,0.18990815242313283,0.135807252928811,0.12191727630134233,0.09682013963405757,0.10802729967387366,0.6802495614693126,,,,,,,,,,,,,,,,
branch1_proxy,development,18720.0,2023-07-20T09:40:00+00:00,14.0,7.0,all_1_6_24,3.0,3.0,36.0,0.1745530367851862,0.13339847007543593,0.12269900765326339,0.07385119952881096,0.11199954523109083,0.6716005996280225,,,,,,,,,,,,,,,,
branch1_proxy,development,18720.0,2023-07-20T09:40:00+00:00,14.0,14.0,all_1_6_24,3.0,3.0,36.0,0.1664639834948337,0.13162790785787326,0.1228669120437166,0.06206914942222156,0.11410591622955993,0.6671858491170144,,,,,,,,,,,,,,,,
branch1_proxy,development,18720.0,2023-07-20T09:40:00+00:00,21.0,3.0,all_1_6_24,3.0,3.0,36.0,0.1833154623157807,0.1331248894138054,0.11501276695754499,0.09772008855047984,0.09690064450128458,0.6640489724658024,,,,,,,,,,,,,,,,
branch1_proxy,development,18720.0,2023-07-20T09:40:00+00:00,21.0,7.0,all_1_6_24,3.0,3.0,36.0,0.15087976599897243,0.12331617763657193,0.10470251772521824,0.06704964881689458,0.08608885781386456,0.6236748122477492,,,,,,,,,,,,,,,,
branch1_proxy,development,18720.0,2023-07-20T09:40:00+00:00,21.0,14.0,all_1_6_24,3.0,3.0,36.0,0.13223131971327848,0.11686249378239821,0.10000262989912072,0.047611765713768926,0.08314276601584322,0.600150613836408,,,,,,,,,,,,,,,,
branch1_proxy,development,19008.0,2023-07-21T09:40:00+00:00,7.0,3.0,all_1_6_24,3.0,3.0,36.0,0.20061632474888325,0.1221472251833764,0.11285870592938176,0.12433952327542143,0.10357018667538712,0.693122663882556,,,,,,,,,,,,,,,,
branch1_proxy,development,19008.0,2023-07-21T09:40:00+00:00,7.0,7.0,all_1_6_24,3.0,3.0,36.0,0.1944729315159143,0.12052634146774936,0.11249951080787804,0.11611303434777795,0.1044726801480067,0.6898623908660307,,,,,,,,,,,,,,,,
branch1_proxy,development,19008.0,2023-07-21T09:40:00+00:00,7.0,14.0,all_1_6_24,3.0,3.0,36.0,0.19134050449358067,0.1204445493573611,0.11274461110447337,0.11132903910479075,0.10504467285158564,0.6888838920713859,,,,,,,,,,,,,,,,
branch1_proxy,development,19008.0,2023-07-21T09:40:00+00:00,14.0,3.0,all_1_6_24,3.0,3.0,36.0,0.19207082226560437,0.11120065672841507,0.10816684955483286,0.11868398908001075,0.10513304238125062,0.6755854302614402,,,,,,,,,,,,,,,,
branch1_proxy,development,19008.0,2023-07-21T09:40:00+00:00,14.0,7.0,all_1_6_24,3.0,3.0,36.0,0.16923680971428626,0.10624976304981468,0.10426101804686763,0.0919039919884155,0.10227227304392059,0.648052064868336,,,,,,,,,,,,,,,,
branch1_proxy,development,19008.0,2023-07-21T09:40:00+00:00,14.0,14.0,all_1_6_24,3.0,3.0,36.0,0.159645829019102,0.1065862585634115,0.10336007335314956,0.07964365278611474,0.10013388814288762,0.6425794965377415,,,,,,,,,,,,,,,,
branch1_proxy,development,19008.0,2023-07-21T09:40:00+00:00,21.0,3.0,all_1_6_24,3.0,3.0,36.0,0.18652494099211633,0.1029696077248884,0.10171165049250525,0.11994850337405287,0.1004536932601221,0.6601117337777537,,,,,,,,,,,,,,,,
branch1_proxy,development,19008.0,2023-07-21T09:40:00+00:00,21.0,7.0,all_1_6_24,3.0,3.0,36.0,0.14827679997013996,0.0934551992265038,0.08876008255922765,0.0842566043885404,0.0840649658919515,0.6013883704682632,,,,,,,,,,,,,,,,
branch1_proxy,development,19008.0,2023-07-21T09:40:00+00:00,21.0,14.0,all_1_6_24,3.0,3.0,36.0,0.1334085099582827,0.09027285903249017,0.08511998161229087,0.06841977323928403,0.07996710419209158,0.5812190649458934,,,,,,,,,,,,,,,,
branch1_proxy,development,19296.0,2023-07-22T09:40:00+00:00,7.0,3.0,all_1_6_24,3.0,3.0,36.0,0.23893596982007223,0.17977115000211372,0.14163165969972863,0.1410886412260362,0.10349216939734351,0.7366217027999525,,,,,,,,,,,,,,,,
